Elapsed Time,II
2.036,-0.024029797404673106
2.038,-0.0029219305706000803
2.04,-0.010711869570808238
2.042,-0.004696308693819281
2.044,-0.025336975247691892
2.046,-0.01902488347137671
2.048,0.014673978453153675
2.05,-0.0013185605473212162
2.052,0.021180489866781945
2.054,-0.007555717696182633
2.056,-0.019239052971721505
2.058,-0.014871329800295574
2.06,-0.01354516007391444
2.062,-0.02583431846565787
2.064,-0.013281947208638263
2.066,-0.03667913473934042
2.068,-0.026452767234967478
2.07,-0.041945791943077966
2.072,-0.044929034777723885
2.074,-0.08230806725842674
2.076,-0.08511856417339835
2.078,-0.1035169217981873
2.08,-0.09381012396554472
2.082,-0.09887432095444688
2.084,-0.09952371734206843
2.086,-0.10955256747653677
2.088,-0.11203863723472446
2.09,-0.09104903251991528
2.092,-0.08243929080704265
2.094,-0.07012170294898776
2.096,-0.05915686221559259
2.098,-0.06612892138340794
2.1,-0.05289548806209741
2.102,-0.06054018524808361
2.104,-0.05816690850460333
2.106,-0.09021473851724875
2.108,-0.09179550674628266
2.11,-0.10936443012418429
2.112,-0.09772965495198353
2.114,-0.10629428192566798
2.116,-0.09292624309822387
2.118,-0.11861246856589483
2.12,-0.10746940292998709
2.122,-0.09757727031236252
2.124,-0.09934913937415361
2.126,-0.09408032038404936
2.128,-0.10225766227566326
2.13,-0.11783994388490132
2.132,-0.1085718856212302
2.134,-0.07635472949798683
2.136,-0.07969499471652262
2.138,-0.07064711815336282
2.14,-0.08745892200868653
2.142,-0.11876015857076852
2.144,-0.10843998679490144
2.146,-0.08725988777085762
2.148,-0.07321891933741538
2.15,-0.0686238851934526
2.152,-0.08665407913773993
2.154,-0.12971636859113578
2.156,-0.165596953380355
2.158,-0.1504593002447599
2.16,-0.16145496648973312
2.162,-0.12748131997404497
2.164,-0.11645095895109858
2.166,-0.12544666340410845
2.168,-0.13573555416277827
2.17,-0.1318448042972317
2.172,-0.1300258438380598
2.174,-0.12098826968891269
2.176,-0.0815628749313704
2.178,-0.06780828321463414
2.18,-0.020462592572806988
2.182,0.04717180342088711
2.184,0.11665264540559321
2.186,0.1957572956493238
2.188,0.27963590132177035
2.19,0.37384711561151196
2.192,0.4841203893518815
2.194,0.6157900126278691
2.196,0.7380694990985708
2.198,0.7754076705790774
2.2,0.7650935438385994
2.202,0.6896091382714691
2.204,0.5852358666585932
2.206,0.514711546181913
2.208,0.4292089739598528
2.21,0.3194555046024
2.212,0.1705103477882545
2.214,0.007850017275065456
2.216,-0.11898769317968338
2.218,-0.19522645112817522
2.22,-0.19360546211544766
2.222,-0.17657587440128358
2.224,-0.17111764666266957
2.226,-0.1548769191684393
2.228,-0.13169061007132915
2.23,-0.11125256138382171
2.232,-0.06937956930954986
2.234,-0.030134532865274892
2.236,-0.06740164970040038
2.238,-0.06228858793622712
2.24,-0.07867320599025475
2.242,-0.11203236677859646
2.244,-0.08822334825016849
2.246,-0.10642419005528213
2.248,-0.11884269245269206
2.25,-0.12153751041200296
2.252,-0.10934229910401334
2.254,-0.10595923965546995
2.256,-0.09145419573364794
2.258,-0.06203954618670687
2.26,-0.08762555700118677
2.262,-0.057749004400682966
2.264,-0.08361443198669971
2.266,-0.07341451642229768
2.268,-0.10364755386721175
2.27,-0.09134091623624174
2.272,-0.09813226113211847
2.274,-0.08412696502222462
2.276,-0.07593267672968786
2.278,-0.05729302581942325
2.28,-0.0834252627093319
2.282,-0.05683862402089027
2.284,-0.0692292918397882
2.286,-0.05732231664312903
2.288,-0.05660312433336796
2.29,-0.05300708739777523
2.292,-0.06868792151320899
2.294,-0.06260066515760362
2.296,-0.057204872380645866
2.298,-0.057752899652787
2.3,-0.05893920302361414
2.302,-0.039434229021522216
2.304,-0.06997443630017633
2.306,-0.027712753990089205
2.308,-0.046239228144100634
2.31,-0.029614451667367467
2.312,-0.04242967186806037
2.314,-0.03673866068171838
2.316,-0.057658989758004174
2.318,-0.036273975582583454
2.32,-0.04834331556988034
2.322,-0.04075059537276443
2.324,-0.04053100142203543
2.326,-0.02549819875698457
2.328,-0.02477590097686447
2.33,0.0026503170631193163
2.332,0.0009307752169576428
2.334,-0.015453544364424828
2.336,-0.002431068410546735
2.338,-0.02013511373620195
2.34,-0.00425918313107498
2.342,0.01713039978254076
2.344,0.0017874479203061505
2.346,0.01336141170685524
2.348,-0.008863614246866124
2.35,0.006226714032768096
2.352,0.011822147002906366
2.354,0.04132211693989613
2.356,0.04168279617400986
2.358,0.05896343482938528
2.36,0.0327760309258383
2.362,0.0598831501091139
2.364,0.04644065209946491
2.366,0.06909546176106604
2.368,0.07486020525491109
2.37,0.07292029950884614
2.372,0.07610112901898425
2.374,0.08645883165518509
2.376,0.09514941177600694
2.378,0.12429136868160665
2.38,0.12217808157815906
2.382,0.15011160526011907
2.384,0.12976228053136218
2.386,0.14293448724347885
2.388,0.14046524397255658
2.39,0.14944568403743894
2.392,0.15604457168576172
2.394,0.1749626877450864
2.396,0.16877498787516756
2.398,0.17244927722859318
2.4,0.16791887440000303
2.402,0.16884906047866202
2.404,0.18393733056386993
2.406,0.19430446303208068
2.408,0.22042088357235767
2.41,0.21523373813500893
2.412,0.19415694174631817
2.414,0.21469605145921525
2.416,0.16487466433840559
2.418,0.20665073911563922
2.42,0.20860306691039995
2.422,0.21015373481790503
2.424,0.21370577942980754
2.426,0.21142853655670735
2.428,0.18991187253401257
2.43,0.19622515973641289
2.432,0.21076791989067645
2.434,0.18612683841916458
2.436,0.1979443748249256
2.438,0.1669906761461141
2.44,0.15724926687096083
2.442,0.14014752593970806
2.444,0.13637931536022552
2.446,0.12574430476865822
2.448,0.09570351161996454
2.45,0.0982037746873505
2.452,0.07038049471346718
2.454,0.08601185103810438
2.456,0.08372260240725221
